PCE_ave(%),n(SMILES),p(SMILES)
11.51,O=C1C(C=C(Cl)S2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=C(Cl)S%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
13.29,O=C1C(C=CC(Cl)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=CC(Cl)=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
9.1,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=C(Cl)C(Cl)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(Cl)C(Cl)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
6.22,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C3C4=C(C5=C(C(C=C6)=CC=C6C7=C(C8=CC=C(C9=C(C%10=C%11C=CC%12=C%10C(C(N(C(CCCCCC)CCCCCC)C%12=O)=O)=C9)C%13=C(C%11=CC=C%14C(N(C(CCCCCC)CCCCCC)C%15=O)=O)C%14=C%15C=C%13)C=C8)C(C%16=CC=C(C%17=C(C%18=C%19C=CC%20=C%18C(C(N(C(CCCCCC)CCCCCC)C%20=O)=O)=C%17)C%21=C(C%19=CC=C%22C(N(C(CCCCCC)CCCCCC)C%23=O)=O)C%22=C%23C=C%21)C=C%16)=C(C%24=CC=C(C%25=C(C%26=C%27C=CC%28=C%26C(C(N(C(CCCCCC)CCCCCC)C%28=O)=O)=C%25)C%29=C(C%27=CC=C%30C(N(C(CCCCCC)CCCCCC)C%31=O)=O)C%30=C%31C=C%29)C=C%24)C(C%32=CC=C(C%33=C(C%34=C%35C=CC%36=C%34C(C(N(C(CCCCCC)CCCCCC)C%36=O)=O)=C%33)C%37=C(C%35=CC=C%38C(N(C(CCCCCC)CCCCCC)C%39=O)=O)C%38=C%39C=C%37)C=C%32)=C7C%40=CC=C(C%41=C(C%42=C%43C=CC%44=C%42C(C(N(C(CCCCCC)CCCCCC)C%44=O)=O)=C%41)C%45=C(C%43=CC=C%46C(N(C(CCCCCC)CCCCCC)C%47=O)=O)C%46=C%47C=C%45)C=C%40)C=C(C(N(C(CCCCCC)CCCCCC)C%48=O)=O)C%49=C%48C=CC3=C5%49)C=CC1=C42,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
1.22,O=C(N1C(CCCCCCCC)CCCCCCCCCC)C2=C3C4=C(C(OC5(C)C)=C2)C6=C5C=C7C8=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C7=O)=O)C=C(C#CC9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=C(C#CC%12=CC(C(N%13C(CCCCCCCCCC)CCCCCCCC)=O)=C%14C%15=C%12C%16=CC=C%17C%18=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C%17=O)=O)C=C%19C(C%15=C(C(C)(C)O%19)C=C%14C%13=O)=C%16%18)C=C%11)C=C9)C(C4=CC=C3C1=O)=C68,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
5.6,O=C(N1C(CCCCCCCC)CCCCCCCCCC)C2=C3C4=C(C(OC5(C)C)=C2)C6=C5C=C7C8=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C7=O)=O)C=C(C#CC9=CC=C(N(C%10=CC=C(C#CC%11=CC(C(N%12C(CCCCCCCCCC)CCCCCCCC)=O)=C%13C%14=C%11C%15=CC=C%16C%17=C(C(N(C(CCCCCCCCCC)CCCCCCCC)C%16=O)=O)C=C%18C(C%14=C(OC%18(C)C)C=C%13C%12=O)=C%15%17)C=C%10)C%19=CC=C(C#CC%20=CC(C(N%21C(CCCCCCCCCC)CCCCCCCC)=O)=C%22C%23=C%20C%24=CC=C%25C%26=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C%25=O)=O)C=C%27C(C%23=C(C(C)(C)O%27)C=C%22C%21=O)=C%24%26)C=C%19)C=C9)C(C4=CC=C3C1=O)=C68,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
3.82,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=CC(C6=CC=C(C7=CC=C(C8=CC(C9=CC=C(C(N(C(CCCCC)CCCCC)C%10=O)=O)C%11=C%10C=CC%12=C9%11)=C(C%12=CC=C%13C(N%14C(CCCCC)CCCCC)=O)C%13=C8C%14=O)S7)S6)=C(C(N(C(CCCCC)CCCCC)C%15=O)=O)C%16=C%15C=CC3=C5%16)C=CC1=C42,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
2.14,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=CC(C6=CC=C(C7=CC=C(C8=C9C=C(C%10=CC=C(C%11=CC(C%12=CC=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%14=C%13C=CC%15=C%12%14)=C(C%15=CC=C%16C(N%17C(CCCCC)CCCCC)=O)C%16=C%11C%17=O)S%10)C=C8)C(C9(CCCCCCCC)CCCCCCCC)=C7)S6)=C(C(N(C(CCCCC)CCCCC)C%18=O)=O)C%19=C%18C=CC3=C5%19)C=CC1=C42,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
9.86,CCCCCC[Si]1(CCCCCC)C2=C(SC(/C=C3C(C(C=CC(F)=C4)=C4C\3=C(C#N)\C#N)=O)=C2)C(S5)=C1C(S6)=C5C7=C6C(SC(/C=C8C(C(C=CC(F)=C9)=C9C\8=C(C#N)/C#N)=O)=C%10)=C%10[Si]7(CCCCCC)CCCCCC,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCCCCCC)=C(C7=CC8=C(C9=C(C(N(CC(CCCCCC)CCCCCCCC)C8=O)=O)C=C(C%10=C(CCCCCCCCCC)C=C(C)S%10)S9)S7)S6
6.2,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,CC1=C(CC(CCCC)CCCCCC)C=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)S2)S1
6.4,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,CC1=C(CC(CCCC)CCCCCC)C=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C5=C(CC(CCCCCC)CCCCCCCC)C=C(C6=CC(CC(CCCCCC)CCCCCCCC)=C(C7=CC(F)=C(C8=C(F)C=C(C)S8)S7)S6)S5)S4)S3)S2)S1
7,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,CC1=C(CC(CCCCCC)CCCCCCCC)C=C(C2=CC(CC(CCCCCC)CCCCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)S2)S1
4.38,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C)S3)S2)C4=NC(C5=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C5)=C(C6=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C6)N=C41
4.74,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=C(F)C(F)=C(C2=CC(F)=C(C3=C(F)C=C(C)S3)S2)C4=NC(C5=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C5)=C(C6=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C6)N=C41
3.78,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)S3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C51
7.8,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C=C3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C51
9.45,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(C5(CCCCCCCC)CCCCCCCC)C(C6=C5C(C7(CCCCCCCC)CCCCCCCC)=C(C8=CC(C(C(C=C9)=CC=C9CCCCCC)(C%10=C%11SC(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)=C%10)C(C=C%14)=CC=C%14CCCCCC)=C%11C=C78)S6)=C4)C%15=C2C=C(/C=C%16C(C(C=CC=C%17)=C%17C\%16=C(C#N)\C#N)=O)S%15,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
10.95,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(C5(CCCCCCCC)CCCCCCCC)C(C6=C5C(C7(CCCCCCCC)CCCCCCCC)=C(C8=CC(C(C(C=C9)=CC=C9CCCCCC)(C%10=C%11SC(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)=C%10)C(C=C%14)=CC=C%14CCCCCC)=C%11C=C78)S6)=C4)C%15=C2C=C(/C=C%16C(C(C=C(F)C(F)=C%17)=C%17C\%16=C(C#N)\C#N)=O)S%15,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
9.02,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(S3)C4=CC=C(C5=CC6=C(C=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C86)C9=NN(CC(CCCCCC)CCCC)N=C59)S4)=C(C%10=CC=C(CC(CC)CCCC)S%10)C%11=C2C=C(C)S%11
10.85,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,CCCCC(CC)CC(S1)=C(F)C=C1C2=C3C(C=C(S3)C4=CC=C(C5=CC6=C(C=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C86)C9=NN(CC(CCCCCC)CCCC)N=C59)S4)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)C%11=C2C=C(C)S%11
6,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC(C(S1)=C2C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CCCCCC)CCCCCCCC)S9
7.46,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
7.41,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC(C5=CC=C(/C=C6C(C(C=CC=C7)=C7C\6=C(C#N)\C#N)=O)S5)=C(C8=CC=C(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S8)S4)=C2)(C%11=CC=C(CCCCCC)C=C%11)C%12=C3C=C(C(C%13=C%14SC(C%15=CC(C%16=CC=C(/C=C%17C(C(C=CC=C%18)=C%18C\%17=C(C#N)\C#N)=O)S%16)=C(C%19=CC=C(/C=C%20C(C(C=CC=C%21)=C%21C\%20=C(C#N)\C#N)=O)S%19)S%15)=C%13)(C%22=CC=C(CCCCCC)C=C%22)C%23=CC=C(CCCCCC)C=C%23)C%14=C%12,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
7.6,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
3.01,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC(C(S1)=C2C3=CC=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CC)CCCC)S9
10.9,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC(C(S1)=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC(Cl)=C(CC(CC)CCCC)S9
9.98,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=C6SC7=C5SC8=C7C(C9=CC=C(CCCCCC)S9)=C(SC%10=C%11SC%12=C%10C(C%13=C%12SC(/C=C%14/C(C%15=C(C=C(F)C(F)=C%15)C%14=O)=C(C#N)\C#N)=C%13)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C8C%18=CC=C(CCCCCC)S%18)C%19=CC=C(CCCCCC)C=C%19)=C6S3)=C(C#N)/C#N,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
12.7,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C(S3)=CC4=C3C(C5(C(C=C6)=CC=C6CCCCCC)C(C=C7)=CC=C7CCCCCC)=C(C8=C5C9=C(S8)C(C%10=CC=C(S%10)CCCCCC)=C%11C%12=C(C(SC%13=C%14SC(/C=C%15/C(C%16=C(C=C(F)C(F)=C%16)C%15=O)=C(C#N)\C#N)=C%13)=C%14C(C(C=C%17)=CC=C%17CCCCCC)%12C(C=C%18)=CC=C%18CCCCCC)SC%11=C9C(S%19)=CC=C%19CCCCCC)S4)=C(C#N)/C#N,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
14.4,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC(C(OCC)=O)=C(C)S6)S5
9.58,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)S3)C=C(C4=C5C=C(C6=C(CCCCCCCC)C=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC(CCCCCCCC)=C(C)S%10)S7)S6)S4)C(C=C5C%11=CC=C(SCC(CC)CCCC)S%11)=C2S1
8.2,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)S3)C=C(C4=C5C=C(C6=C(CCCCCCCC)C(SC(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C(S%10)=CC%11=C%10C(CCCCCCCC)=C(C)S%11)S7)=C%12)=C%12S6)S4)C(C=C5C%13=CC=C(SCC(CC)CCCC)S%13)=C2S1
4.57,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)C=C3)C=C(C4=C5C=C(C6=C(CCCCCCCC)C=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC(CCCCCCCC)=C(C)S%10)S7)S6)S4)C(C=C5C%11=CC=C(SCC(CC)CCCC)C=C%11)=C2S1
8.3,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C(SC6=C7C8=CC(F)=C(CC(CC)CCCC)S8)=CC6=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C7C=C(C)S%10)S5
5.1,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C)S5
7.3,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(S1)=CC(F)=C1C(S2)=C(F)C=C2C(S3)=CC=C3C(C4=C5N=C(C6=CC=CC(OCC(CC)CCCC)=C6)C(C7=CC(OCC(CC)CCCC)=CC=C7)=N4)=CC8=C5C=C(C9=CC=C(C)S9)C%10=C8N=C(C%11=CC=CC(OCC(CC)CCCC)=C%11)C(C%12=CC(OCC(CC)CCCC)=CC=C%12)=N%10
